Site Name,URL
NDIC,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.97/10.0.43.97_gigabitethernet0_0_0.html
NITDA HQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.49/10.0.43.49_gigabitethernet0_0_0.html
NITDA Lagos,https://mrtg.galaxybackbone.com.ng:8081/10.10.217.94/10.10.217.94_gigabitethernet0_0.html
NNRA,https://mrtg.galaxybackbone.com.ng:8081/10.0.38.177_gigabitethernet0_0_0.html
NIGCOMSAT,https://mrtg.galaxybackbone.com.ng:8081/10.0.252.113/10.0.252.113_gigabitethernet0_0_0.html
NPSC,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.225_gigabitethernet2_0_0.html
CAC,https://mrtg.galaxybackbone.com.ng:8081/10.0.46.33/10.0.46.33_gigabitethernet0_0_0.html
NGMC,https://mrtg.galaxybackbone.com.ng:8081/10.0.46.9/10.0.46.9_gigabitethernet0_0_0.html
PAF,https://mrtg.galaxybackbone.com.ng:8081/ 10.0.39.54/10.0.39.54_gigabitethernet0_0_0.html
NIPOST Area 10,https://mrtg.galaxybackbone.com.ng:8081/10.0.46.185/10.0.46.185_gigabitethernet0_0_0.html
NCC Mbora,https://mrtg.galaxybackbone.com.ng:8081/10.0.45.169/10.0.45.169_gigabitethernet0_0_2.html
MOT,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.233/10.0.37.233_gigabitethernet0_0_0.html
NSSEC,https://mrtg.galaxybackbone.com.ng:8081/10.0.46.193/10.0.46.193_gigabitethernet0_0_0.html
NAN,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.17/10.0.42.17_gigabitethernet0_0_0.html
NDE,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.89/10.0.35.89_gigabitethernet0_0_0.html
FMWA,https://mrtg.galaxybackbone.com.ng:8081/10.0.45.86/10.0.45.86_gigabitethernet0_0_0.html
NAPET-KRPC,https://mrtg.galaxybackbone.com.ng:8081/10.160.64.17/10.160.64.17_gigabitethernet0_0_0.html
NAPET-WRPC,https://mrtg.galaxybackbone.com.ng:8081/10.10.232.233/10.10.232.233_gigabitethernet0_0_0.html
NAPET PH,https://mrtg.galaxybackbone.com.ng:8081/10.10.233.234/10.10.233.234_gigabitethernet0_0_2.html
